high_level_substr,sig_gene_seq
arabinogalactan,"GH51_1,3.A.1.1.34,3.A.1.1.34,3.A.1.1.34,null,null,null"
arabinogalactan,"GH51_1,3.A.1.1.34,3.A.1.1.34,3.A.1.1.34,null,null,null,null,null"
arabinogalactan,"GH51_2,GH30_4,CBM32,null,1.B.14.6.1,GH2,CBM13,HTH_AraC|HTH_AraC"
arabinogalactan,"GH51,3.A.1,3.A.1,3.A.1,null,null,null,null,null"
arabinogalactan,"GH51,GH146,null,null,null,null,NUDIX,2.A.21,null,null,null,null,GH43_4,null,1.B.14,null,1.B.14,null,HTH_AraC|HTH_AraC,GH43_4,GH51,GH43_29"
arabinogalactan,"HTH_AraC,GH49,GH2,null,GH27,GH43,null,GH36,GH49,GH43,null,null,null,GH2,null,1.B.14.6.1"
arabinogalactan,"LacI,SBP_bac_1,3.A.1,3.A.1,GH36,-,null"
arabinogalactan,"null,1.B.14.6.1,Mga|HTH_AraC,GH43_24,GH43_17,GH105|GH154,PL42"
arabinogalactan,"null,GH35,null,null,null,1.A.30.2.9,null,null,null,null,null,null,null,null,null,null,1.B.14.6.1,null,null,null,null,HTH_AraC|HTH_AraC,null,GH43_24"
arabinogalactan,"null,GH35,null,null,null,null,1.A.30.2.9,null,null,null,null,null,null,null,null,null,null,null,1.B.14.6.1,null,null,null,null,HTH_AraC|HTH_AraC,null,GH43_24,GH43_24,PL27,PL27"
arabinogalactan,"null,GH51_2,GH43_4,HTH_AraC|HTH_AraC,1.B.14.6.1,null,null,GH43_4,null,2.A.21.3.19,NUDIX,null,null,null,GH146,GH51_1,null"
arabinogalactan,"null,null,GH43_4,null,null,GntR,null,GH2,null,GH43_4,GH127,GH51,null,3.A.1,3.A.1,3.A.1,null,GH43_26,GH51,null,GH27,3.A.1,HTH_8,null"
arabinogalactan,"null,null,null,3.A.1.1.34,3.A.1.1.34,3.A.1.1.34,GH51_1"
arabinogalactan,"null,null,null,GH51_1,LacI,null,3.A.1.2.24,MarR,MarR,3.A.1.2.22,3.A.1.2.22,3.A.1.2.22"
arabinogalactan,"null,null,null,null,null,3.A.1.1.34,3.A.1.1.34,3.A.1.1.34,GH51_1"
arabinogalactan,"null,PL27,GH43_24,GH43_24,null,HTH_AraC|HTH_AraC,null,null,null,null,1.B.14,null,null,null,null,null,null,null,null,null,null,null,null,1.A.30,null,null,null,null,GH35,null"
arabinogalactan,"PL42,GH105|GH154,GH43_17,GH43_24,Mga|HTH_AraC,1.B.14.6.1,null"
arabinogalactan,"SBP_bac_3,3.A.1,3.A.1,GH43_4,GH127,GH51,GH27,GH51,3.A.1,3.A.1,3.A.1,GH146"
beta-glucan,"1.B.14.12.1,GH1,2.A.2.3.2,LacI"
beta-glucan,"1.B.14.12.1,GH1,2.A.2.3.5,LacI"
beta-glucan,"1.B.14.6.1,null,null,GH16_3,null,GH3"
beta-glucan,"1.B.14.6.1,null,null,GH43_12|CBM91,GH5_4,HTH_AraC|HTH_AraC,GH31_4,GH2,GH3,GH95"
beta-glucan,"1.B.14.6.1,null,null,null,null,GH5_4,HTH_AraC|HTH_AraC,GH31_4,GH2,GH3"
beta-glucan,"1.B.14,8.A.46,null,null,GH43_12,null,GH5_4,HTH_AraC|HTH_AraC,GH31,GH2,GH3,null,GH95"
beta-glucan,"1.B.14,GH1,2.A.2,LacI|Peripla_BP_3"
beta-glucan,"1.B.14,null,null,null,null,null,GH5_4,Reg_prop|Reg_prop|Reg_prop|Reg_prop|Reg_prop|Reg_prop,HTH_AraC|HTH_AraC,GH31,GH2,GH3"
beta-glucan,"1.B.55.3.1,GH8,4.D.3.1.6"
beta-glucan,"1.B.55.3.1,GH8,4.D.3.1.6,GT2"
beta-glucan,"2.A.1.1.3,LacI,GH1,2.A.1.7.10,GH3,1.B.14.12.2,GH16_3"
beta-glucan,"2.A.1.1.3,LacI,GH1,2.A.1.7.10,GH3,2.A.35.1.1,1.B.14.12.2,GH16_3"
